textDisplay|vader_scores|vader_compound|vader_classification|classification_threshold|sentiment_intensity
GOTY|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Épico|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
gran reseña|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Hay más enemigos aparte de los enemigos de kraven porque noto que estamos chetaisimos|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Los que decian que totk era un dlc donde estan? Un 9.3 le ponen vaya fandom de pagina.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Esta de más ese título...|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Tirándole flores a Sony Vandal 💩💩💩|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Me gusta Spiderman pero el cinismo de esta gente es bestial, casi me ofende. <br>Seamos sinceros sigue siendo Spiderman puedo ver con claridad que algo raro pasa y me ofende que subestimen mi inteligencia.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
SpiderGotyMan 2|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Si lo compro en la playstation store ya deja jugar?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
BUAHHH los gráficos me decepcionaron, se ven casi igual que en ps4|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Increíble lo que argumenta de los bosses mientras enseña un combate en el que el boss solo se dedica a recibir golpes XD.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Es una broma no????????|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
"<a href=""https://www.youtube.com/watch?v=_ZF2rd1T5Bk&amp;t=6m40s"">6:40</a> Lo que dices se contradice con lo que aparece en pantalla. Esa pelea contra el lagarto se ve pesima, nisiquiera ataca devuelta."|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Los gamers estamos de enhorabuena que nunca nos falten obras maestras como este juego|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
La verdad tiene mas pinta de DLC que de juego completo.. yo veo lo mismo de siempre|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Lo único del análisis es lo dr las misiones secundarias, todos, absolutamente todos los juegos se repiten, unos más que otros obviamente pero en ragnarok lo único que diferenciaba las misiones secundarias en la narrativa de resto es igual ir del punto a al b y combatir, pero en algunos juegos los que hacen el análisis en todos estos canales se victimizan de las misiones secundarias|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
lastima que juego en pc, pero espero que saquen pronto la version para pc, porque la ps5 esta mas cara que el pingo|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Ojalá en un futuro hagan un DLC o un título para Spider Gwen. Pedir ya un Spider Verse sería demasiado.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Pero si es el mismo juego tercera parte??? Con otra historia claro, faltaría más jajajajajajajja, te tienes que reír con la panda del moco esta, donde siempre lo tenéis 💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵💵|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Lo veo muy muy similar al primer Spiderman con otras mecanicas,pero me da igual porque el primero era y sigue siendo bestial y eso ya es mucho para disfrutar con la siguiente aventura.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
repito de nuevo,  EL SIMBIONTEN VENOM  ES BUENO REPITO|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Dice que si vale la pena <br>La pregunta ofende Vandal|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Amigo llevaba años esperando algún youtuber nuevo que haga los videos con la calidad y dedicación que le pones 10/10 amigo  💯|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Ol|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Una pregunta si compro la version Deluxe en una cuenta y juego al spiderman en otra podre usar lo que le da la version deluxe en otra cuenta?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Me encante el juegue|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Que lastima lo del sigilo... yo esperaba que la mejoren al estilo arkham, es el punto flojo de la jugabilidad|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Juego para gays|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Señore es un juegazo si el primero te gustó este te va mmar|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Merece la pena si quieres ver una gran cantidad de bugs|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
hola|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Insomniac está que se sale. Aprende ubisoft.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Flojete|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Como carajo tiene menos nota que Mario Wonder|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
tremendo pelijuego|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
La moda absurda de hoy en día (que cada vez que se dice sale sida) de decir spaiderman en lugar de Spiderman|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Grandes blanqueando los juegos de mierda x dinero|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Pregunta se puede cambiar el traje negro al rojo como en Spiderman web of shadow o si o si tenes que entrar a trajes y cambiarlo manualmente|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Nota merecida|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Sí que merece la pena lo malo es que Insomniac tiene una fea costumbre, os la diré y veréis como en todos sus juegos pasa lo mismo:<br>Buenos gráficos, buena jugabilidad pero para jugar toma, cómete este tutorial, esta cinemática, esta misión que tienes que hacer sí o sí dos veces y cuando acabes de postre tienes dos misiones repetitivas que duran más de lo que deberían|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
¿Cuándo váis a hacer el vídeo &quot;30 bugs divertidos de Spiderman 2 (segundo DLC)&quot;? Los bugs que tiene os da para una serie completa, pero un vídeo creo que es suficiente.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Cuando vais a hacer los 30 detalles del nuevo Spiderman???? <br>Tengo muchas ganas|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Me gusto la parte donde señala a le doctore XD.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
los bugs están divertidísimos, pero hubieran retrasado el lanzamiento para pulir esos detalles, una lástima.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Hoy día hacen los juegos para tontos que pintan todas esas grúas en la bahía de manthatan recuerdo lo difícil que era llegar en el 2 de ps2 a la estatua de la libertad y hoy día te lo Dan todo mascado|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Nocedicepizzataguercedicepizzatower|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
que mal que tenga el lenguaje exclusivo pero nada que hacerle voy a tener que jugarlo|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
el calvo esta echando espuma por la boca jajajajaja|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
excelente analisis pongame 2 juegos para llevar mi buen hombre|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Spiderbug2<br>El inclusive dlc pelijuego de 7 horas q corre a 40 fps para todos aquellos q exigen jugar solo nextgen a 80 napos|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Todo bien le periodistes?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
"Después de ver el ultimo video de SQUADRON 42, me da la sensación que Spiderman 2 tiene unos gráficos cutres y obsoletos.<br>¿Y a esto le llaman nueva generación?.....jejeje"|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Pobre spiderman sony esta arruinando al personaje|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
El viernes me lanzo a la tienda por spiderman 2!!!!!|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
miles Morales 2|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Un juego buenísimo par los incondicionales del trepamuros.|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Ya lo temeiné y es un juegazo, completamente|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
El que juega es manquisimo ¿como es eso posible?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Spiderman 2 👍🏼|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Faltan los 30 detalles|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
"<a href=""https://www.youtube.com/watch?v=_ZF2rd1T5Bk&amp;t=10m44s"">10:44</a> 😮"|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Vaya la noticia es que miles morales será el spiderman del futuro. Un n e g ro como protagonista? Q raro... si al final disney todos serán de color...|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
<b>15 HORAS????????? JAJAJAJAJA</b>|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
Cómo es que tú ya lo puedes jugar ?|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
&quot;El mejore videojuege de súpere héroes&quot; <br><br>es una mierda el juego|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
esparare un par de meses a que baje a mitad de precio|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
"<a href=""https://www.youtube.com/watch?v=_ZF2rd1T5Bk&amp;t=9m54s"">9:54</a> Parece que a los medios les indicaron que mencionaras que este juego era &quot;El mejor juego de superheroes&quot; es demasiada coincidencia que muchos medios mencionen esta frase en sus reseñas"|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
O la la|{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}|0.0|neutral|neutral|0.0
NO mas misiones con mary jane 😂.  Gracias|{'neg': 0.274, 'neu': 0.51, 'pos': 0.216, 'compound': -0.0085}|-0.0085|negativo|neutral|0.0085
creo que al fan de xbox no le va a gustar este video|{'neg': 0.142, 'neu': 0.71, 'pos': 0.148, 'compound': 0.0258}|0.0258|neutral|neutral|0.0258
No he jugado Spiderman desde Web of Shadows de XBOX 360, pero si este está en PS4 igual y le doy una oportunidad. Cool.|{'neg': 0.083, 'neu': 0.83, 'pos': 0.087, 'compound': 0.0258}|0.0258|neutral|neutral|0.0258
Tengo la play pero no el juego :&#39;&#39;V|{'neg': 0.208, 'neu': 0.566, 'pos': 0.226, 'compound': 0.0516}|0.0516|neutral|neutral|0.0516
Me hace gracia esta gente, que dicen que es continuista... normal que quieres que sea un shooter? Parecéis retrasados en vandal y los haters de xbox😂, luego al zelda que era mega continuista le poneis 10, ainsss.|{'neg': 0.106, 'neu': 0.814, 'pos': 0.079, 'compound': -0.0772}|-0.0772|negativo|neutral|0.0772
¿Era necesario dejar tanto tiempo la persecucion de Black cat?. Me hiciste ahí tremendo SPOILER. 😅 Bueno, al menos no fue tanto SPOILER comparado a otros medios qué empiezan CON 3D..... Que apenas vi 3 minutos y adiós. Jaja|{'neg': 0.049, 'neu': 0.895, 'pos': 0.056, 'compound': 0.0772}|0.0772|neutral|neutral|0.0772
Bueno en mi opinión en el primer juego si me aburrieron esas misiones secundarias dónde debes encontrar varias cosas como las mochilas y atrapar las palomas y este juego es un meh ya que regresa eso solo que atrapando robots ahora|{'neg': 0.031, 'neu': 0.969, 'pos': 0.0, 'compound': -0.0772}|-0.0772|negativo|neutral|0.0772
Soy usuario de Nintendo y Xbox pero soy también fan de Spiderman desde pequeño, jugue el 1 en pc, aunque lo de meterle lengueje inclusivo manda pelotas, ridículo a mas no poder aun asi disfrutadlo mucho! Ya era hora de que metieran a Venom.|{'neg': 0.047, 'neu': 0.898, 'pos': 0.055, 'compound': 0.1007}|0.1007|neutral|neutral|0.1007
Tiene lenguaje inclusivo en español? Genial, entonces no pienso comprarlo por bueno que digan que es.|{'neg': 0.116, 'neu': 0.737, 'pos': 0.147, 'compound': 0.1531}|0.1531|neutral|neutral|0.1531
Hack &amp; slash generico,simplon,corto y woke hasta el vomito.<br>Todo lo que puede dar sony hasta dentro de dos años...<br>Calamidad total.|{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.2732}|-0.2732|negativo|neutral|0.2732
Al fin un combatiente digno para pelear para el goty contra zelda god|{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}|0.2732|neutral|positivo|0.2732
Dicen que el juego no tiene para jugar nueva partida y tiene muchos bugs|{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
No se porque a muchos les molesta que Miles haya sido el MVP del juego, esta siguiendo los pasos de su mentor y tiene mas potencial que el.|{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
Le doctore Young? no tengo mas que decir asco woke|{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
no veas como se nota que es de nueva generacion MENOS MAlllllllllllllllllllllllll por dios|{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
Juegazo, no veo las horas de poder jugarlo. Saludos cordiales desde Argentina.|{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
Primer dia de reseñas y ya tiene mas de 100 reseñas distintas en metacritic, cuando un estudio confia en su videojuego se nota, no como bethesta que le da las copias de reseña nomas a 20 paginas para que tenga nota alta de salida|{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
Una verguenza parece un dlc no mas|{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
Ya no hacen los 30 detalles alucinantes?|{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
Jajajaja es increible la cantidad de ardor que hay entre los xboxers, no importa que tengan a bethesda y Activision, siempre tienen envidia de lo que hay en las demas consolas|{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
juegazo, no me interesaba conseguirlo, pero ahora viéndolo creo que en navidad me compraré este y el sonic superstars, probé el mario wonder y se me hizo aburridísimo|{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.296}|-0.296|negativo|neutral|0.296
